20,3,16, 2.0
20,3,19, 24.0
20,4,15, 13.0
20,4,16, 2.0
20,4,19, 3.0
20,4,21, 1.0
20,5,15, 1.0
20,5,21, 9.0
20,6,20, 3.0
20,6,21, 18.0
20,7,20, 22.0
20,7,21, 1.0
21,0,20, 5.0
21,0,21, 20.0
21,1,20, 12.0
21,1,21, 6.0
21,2,19, 4.0
21,2,20, 11.0
21,3,15, 14.0
21,3,16, 2.0
21,3,19, 1.0
21,3,20, 6.0
21,4,8, 3.0
21,4,15, 15.0
21,5,8, 3.0
21,5,15, 3.0
21,5,29, 17.0
21,6,21, 15.0
21,6,29, 7.0
21,7,21, 16.0
22,0,14, 13.0
22,1,8, 7.0
22,1,9, 7.0
22,1,14, 9.0
22,2,9, 10.0
22,3,9, 2.0
22,3,10, 17.0
22,3,13, 2.0
22,4,13, 18.0
22,5,22, 16.0
22,6,22, 15.0
22,7,14, 1.0
22,7,22, 19.0
23,0,5, 15.0
23,0,11, 18.0
23,1,0, 7.0
23,1,5, 18.0
23,1,11, 2.0
23,2,0, 1.0
23,2,1, 15.0
23,2,2, 1.0
23,2,5, 1.0
23,3,1, 4.0
23,3,2, 29.0
23,3,25, 2.0
23,4,2, 2.0
23,4,24, 5.0
23,4,25, 18.0
23,5,12, 1.0
23,5,24, 28.0
23,5,25, 4.0
23,6,10, 2.0
23,6,12, 22.0
23,6,24, 3.0
23,7,10, 15.0
23,7,11, 12.0
23,7,12, 1.0
24,0,10, 1.0
24,0,12, 14.0
24,0,23, 10.0
24,1,23, 23.0
24,2,2, 2.0
24,2,23, 8.0
24,2,25, 21.0
24,3,25, 23.0
24,3,40, 2.0
24,4,24, 16.0
24,4,25, 4.0
24,4,40, 1.0
24,5,24, 27.0
24,6,12, 9.0
24,6,24, 16.0
24,7,12, 24.0
24,7,13, 3.0
25,0,23, 20.0
25,0,24, 11.0
25,1,1, 3.0
25,1,2, 18.0
25,1,23, 5.0
25,1,24, 1.0
25,2,2, 10.0
25,2,4, 8.0
25,2,41, 2.0
25,3,2, 3.0
25,3,4, 9.0
25,3,25, 5.0
25,3,36, 5.0
25,3,41, 2.0
25,3,42, 1.0
25,4,4, 1.0
25,4,25, 24.0
25,4,36, 1.0
25,4,41, 1.0
25,4,42, 2.0
25,5,24, 1.0
25,5,25, 24.0
25,6,24, 16.0
25,6,25, 20.0
25,6,40, 4.0
25,7,24, 22.0
25,7,40, 1.0
26,0,31, 8.0
26,0,33, 13.0
26,0,43, 1.0
26,1,28, 2.0
26,1,33, 1.0
26,1,35, 2.0
26,1,37, 2.0
26,1,39, 1.0
26,1,40, 3.0
26,1,43, 3.0
26,2,27, 14.0
26,2,28, 5.0
26,2,43, 2.0
26,3,27, 16.0
26,3,30, 2.0
26,3,32, 3.0
26,4,27, 2.0
26,4,30, 18.0
26,5,0, 6.0
26,5,1, 6.0
26,5,30, 2.0
26,6,0, 20.0
26,6,1, 1.0
26,6,31, 2.0
26,7,0, 6.0
26,7,31, 18.0
27,0,28, 3.0
27,0,33, 2.0
27,0,35, 1.0
27,0,37, 3.0
27,0,39, 4.0
27,0,40, 1.0
27,0,43, 4.0
27,1,28, 16.0
27,1,36, 1.0
27,2,28, 5.0
27,2,32, 1.0
27,2,36, 6.0
27,2,37, 1.0
27,2,40, 1.0
27,2,41, 1.0
27,3,28, 1.0
27,3,32, 9.0
27,3,36, 4.0
27,3,37, 1.0
27,3,41, 2.0
27,4,30, 3.0
27,4,32, 13.0
27,5,26, 2.0
27,5,30, 20.0
27,6,26, 12.0
27,6,30, 6.0
27,7,26, 19.0
28,0,35, 15.0
28,0,42, 1.0
28,1,28, 25.0
28,1,35, 3.0
28,2,28, 17.0
28,2,37, 1.0
28,3,28, 12.0
28,3,36, 2.0
28,3,37, 2.0
28,3,40, 6.0
28,4,27, 8.0
28,4,32, 1.0
28,4,36, 9.0
28,4,37, 2.0
28,4,40, 4.0
28,4,41, 2.0
28,4,42, 1.0
28,5,27, 19.0
28,5,36, 1.0
28,5,37, 1.0
28,6,26, 8.0
28,6,27, 2.0
28,6,31, 1.0
28,6,37, 3.0
28,6,39, 1.0
28,6,40, 3.0
28,6,43, 2.0
28,7,33, 3.0
28,7,35, 6.0
28,7,37, 3.0
28,7,39, 3.0
28,7,40, 3.0
28,7,42, 2.0
28,7,43, 2.0
29,0,29, 14.0
29,1,21, 21.0
29,2,15, 13.0
29,2,21, 8.0
29,3,8, 13.0
29,3,15, 8.0
29,4,8, 7.0
29,4,14, 7.0
29,5,14, 14.0
29,5,29, 4.0
29,6,29, 25.0
29,7,29, 25.0
30,0,0, 1.0
30,0,26, 15.0
30,0,27, 1.0
30,1,27, 21.0
30,1,32, 1.0
30,2,32, 15.0
30,3,27, 1.0
30,3,32, 6.0
30,3,37, 5.0
30,3,38, 3.0
30,3,39, 13.0
30,3,40, 1.0
30,4,3, 21.0
30,4,38, 4.0
30,4,39, 3.0
30,4,41, 5.0
30,5,1, 3.0
30,5,2, 7.0
30,5,3, 11.0
30,6,1, 28.0
30,6,2, 2.0
30,7,0, 18.0
30,7,1, 7.0
30,7,26, 1.0
31,0,17, 15.0
31,0,18, 1.0
31,0,33, 5.0
31,1,18, 4.0
31,1,33, 18.0
31,2,26, 2.0
31,2,28, 1.0
31,2,33, 6.0
31,2,37, 6.0
31,2,39, 2.0
31,2,40, 2.0
31,2,42, 1.0
31,2,43, 5.0
31,3,26, 22.0
31,3,37, 3.0
31,3,39, 1.0
31,3,42, 3.0
31,4,0, 31.0
31,4,26, 12.0
31,5,0, 10.0
31,5,5, 8.0
31,5,6, 4.0
31,6,6, 16.0
31,6,16, 8.0
31,7,6, 3.0
31,7,16, 17.0
31,7,17, 3.0
32,0,27, 11.0
32,0,28, 5.0
32,1,27, 1.0
32,1,28, 1.0
32,1,32, 2.0
32,1,36, 6.0
32,1,37, 1.0
32,1,41, 1.0
32,1,42, 4.0
32,2,32, 27.0
32,2,40, 1.0
32,3,32, 24.0
32,3,38, 1.0
32,4,32, 24.0
32,4,37, 3.0
32,4,38, 2.0
32,4,39, 3.0
32,4,40, 1.0
32,5,3, 1.0
32,5,30, 2.0
32,5,37, 2.0
32,5,38, 3.0
32,5,39, 7.0
32,5,40, 1.0
32,5,41, 2.0
32,6,3, 1.0
32,6,27, 1.0
32,6,30, 18.0
32,6,39, 1.0
32,7,26, 2.0
32,7,27, 11.0
32,7,30, 10.0
33,0,18, 8.0
33,0,36, 2.0
33,1,18, 1.0
33,1,35, 2.0
33,1,36, 8.0
33,1,37, 3.0
33,1,38, 1.0
33,1,39, 1.0
33,2,35, 21.0
33,2,36, 1.0
33,2,37, 1.0
33,2,38, 1.0
33,3,28, 2.0
33,3,35, 1.0
33,3,37, 2.0
33,3,39, 1.0
33,3,40, 2.0
33,3,42, 1.0
33,3,43, 1.0
33,4,26, 8.0
33,4,27, 2.0
33,4,31, 10.0
33,4,37, 2.0
33,4,40, 1.0
33,4,42, 1.0
33,4,43, 2.0
33,5,26, 2.0
33,5,31, 18.0
33,6,16, 11.0
33,6,17, 3.0
33,6,31, 13.0
33,7,17, 14.0
33,7,18, 8.0
34,0,34, 12.0
34,1,34, 14.0
34,2,34, 5.0
34,2,36, 1.0
34,2,37, 4.0
34,2,38, 4.0
34,2,41, 3.0
34,3,18, 8.0
34,3,36, 3.0
34,3,37, 2.0
34,3,38, 5.0
34,4,17, 3.0
34,4,18, 21.0
34,4,19, 1.0
34,4,36, 1.0
34,5,17, 7.0
34,5,18, 2.0
34,5,19, 6.0
34,6,19, 14.0
34,6,38, 2.0
34,6,39, 2.0
34,6,40, 3.0
34,6,41, 1.0
34,6,43, 2.0
34,7,19, 3.0
34,7,34, 14.0
34,7,39, 2.0
35,0,35, 1.0
35,0,36, 2.0
35,0,37, 6.0
35,0,38, 6.0
35,0,39, 4.0
35,1,35, 25.0
35,1,38, 2.0
35,2,35, 24.0
35,3,28, 6.0
35,3,35, 11.0
35,4,28, 23.0
35,5,26, 1.0
35,5,28, 4.0
35,5,33, 1.0
35,5,37, 1.0
35,5,39, 1.0
35,5,40, 5.0
35,5,42, 1.0
35,5,43, 1.0
35,6,33, 16.0
35,6,37, 1.0
35,6,40, 1.0
35,7,36, 7.0
35,7,37, 8.0
35,7,38, 4.0
35,7,39, 4.0
36,0,2, 2.0
36,0,25, 1.0
36,0,28, 9.0
36,0,34, 1.0
36,0,36, 3.0
36,0,37, 1.0
36,1,2, 1.0
36,1,36, 8.0
36,1,37, 2.0
36,1,38, 1.0
36,1,42, 1.0
36,1,43, 1.0
36,2,35, 1.0
36,2,36, 10.0
36,3,35, 5.0
36,3,36, 13.0
36,3,37, 3.0
36,3,43, 1.0
36,4,32, 1.0
36,4,33, 1.0
36,4,35, 1.0
36,4,36, 5.0
36,4,37, 1.0
36,4,40, 2.0
36,5,18, 1.0
36,5,32, 7.0
36,5,33, 8.0
36,5,36, 2.0
36,6,18, 8.0
36,6,25, 2.0
36,6,27, 5.0
36,6,32, 1.0
36,6,33, 1.0
36,6,34, 1.0
36,7,18, 3.0
36,7,25, 4.0
36,7,27, 1.0
36,7,28, 4.0
36,7,34, 5.0
36,7,36, 1.0
37,0,28, 3.0
37,0,32, 3.0
37,0,33, 5.0
37,0,36, 4.0
37,0,37, 4.0
37,0,38, 3.0
37,1,32, 2.0
37,1,35, 4.0
37,1,36, 1.0
37,1,37, 11.0
37,1,38, 1.0
37,2,28, 4.0
37,2,35, 3.0
37,2,37, 16.0
37,3,27, 1.0
37,3,35, 4.0
37,3,36, 1.0
37,3,37, 9.0
37,3,38, 2.0
37,4,27, 5.0
37,4,35, 5.0
37,4,36, 5.0
37,4,37, 1.0
37,4,38, 2.0
37,4,40, 1.0
37,5,18, 2.0
37,5,26, 3.0
37,5,32, 3.0
37,5,33, 4.0
37,5,36, 2.0
37,5,41, 1.0
37,6,3, 4.0
37,6,18, 4.0
37,6,31, 1.0
37,6,33, 2.0
37,6,34, 2.0
37,6,36, 1.0
37,7,18, 2.0
37,7,27, 2.0
37,7,28, 1.0
37,7,30, 4.0
37,7,33, 1.0
37,7,34, 2.0
37,7,36, 1.0
37,7,38, 1.0
38,0,30, 2.0
38,0,32, 2.0
38,0,37, 3.0
38,0,38, 11.0
38,1,32, 4.0
38,1,38, 19.0
38,2,32, 1.0
38,2,38, 11.0
38,3,18, 1.0
38,3,34, 1.0
38,3,35, 2.0
38,3,38, 12.0
38,3,39, 3.0
38,4,17, 1.0
38,4,33, 1.0
38,4,35, 3.0
38,4,37, 4.0
38,4,38, 5.0
38,4,39, 2.0
38,5,3, 4.0
38,5,18, 6.0
38,5,19, 2.0
38,5,33, 4.0
38,5,36, 1.0
38,5,37, 1.0
38,5,41, 3.0
38,6,3, 7.0
38,6,18, 6.0
38,6,20, 2.0
38,6,33, 1.0
38,6,34, 1.0
38,6,36, 2.0
38,6,41, 1.0
38,7,3, 5.0
38,7,18, 1.0
38,7,30, 8.0
38,7,34, 7.0
38,7,37, 3.0
38,7,38, 2.0
39,0,27, 1.0
39,0,30, 2.0
39,0,32, 3.0
39,0,36, 1.0
39,0,38, 1.0
39,0,39, 6.0
39,1,32, 14.0
39,1,35, 3.0
39,1,39, 6.0
39,2,28, 1.0
39,2,32, 1.0
39,2,34, 3.0
39,2,35, 1.0
39,2,39, 15.0
39,3,17, 1.0
39,3,18, 1.0
39,3,28, 2.0
39,3,34, 1.0
39,3,35, 1.0
39,3,39, 14.0
39,4,17, 1.0
39,4,27, 1.0
39,4,28, 1.0
39,4,33, 1.0
39,4,35, 4.0
39,4,39, 11.0
39,4,42, 1.0
39,4,43, 1.0
39,5,3, 4.0
39,5,26, 1.0
39,5,33, 1.0
39,5,39, 3.0
39,5,42, 3.0
39,6,3, 9.0
39,6,4, 2.0
39,6,18, 6.0
39,6,20, 4.0
39,6,31, 1.0
39,7,3, 2.0
39,7,18, 1.0
39,7,30, 4.0
39,7,33, 1.0
39,7,38, 2.0
39,7,39, 5.0
40,0,24, 2.0
40,0,28, 3.0
40,0,32, 1.0
40,0,33, 2.0
40,0,36, 1.0
40,0,37, 2.0
40,0,40, 2.0
40,1,24, 1.0
40,1,25, 1.0
40,1,32, 1.0
40,1,35, 3.0
40,1,40, 3.0
40,2,28, 2.0
40,2,34, 5.0
40,2,35, 2.0
40,2,40, 3.0
40,3,18, 1.0
40,3,25, 1.0
40,3,28, 3.0
40,3,40, 1.0
40,4,17, 1.0
40,4,27, 4.0
40,4,40, 9.0
40,5,19, 3.0
40,5,32, 3.0
40,5,40, 3.0
40,6,3, 1.0
40,6,4, 2.0
40,6,20, 4.0
40,6,27, 2.0
40,6,31, 1.0
40,7,3, 1.0
40,7,28, 2.0
40,7,30, 3.0
40,7,31, 1.0
40,7,33, 3.0
40,7,40, 1.0
41,0,2, 1.0
41,0,3, 2.0
41,0,25, 2.0
41,0,28, 2.0
41,0,30, 1.0
41,1,2, 1.0
41,1,4, 1.0
41,1,37, 3.0
41,1,38, 5.0
41,1,41, 2.0
41,2,41, 13.0
41,3,18, 1.0
41,3,34, 1.0
41,3,38, 2.0
41,3,41, 13.0
41,4,19, 1.0
41,4,41, 5.0
41,5,4, 4.0
41,5,32, 1.0
41,5,41, 5.0
41,6,3, 7.0
41,6,4, 4.0
41,6,18, 1.0
41,6,25, 3.0
41,6,34, 2.0
41,6,41, 1.0
41,7,3, 3.0
41,7,25, 1.0
41,7,27, 1.0
41,7,28, 2.0
41,7,34, 1.0
42,0,2, 1.0
42,0,3, 2.0
42,0,25, 1.0
42,0,28, 1.0
42,0,39, 1.0
42,0,42, 2.0
42,1,4, 1.0
42,1,35, 1.0
42,1,39, 1.0
42,1,42, 2.0
42,2,42, 3.0
42,3,28, 1.0
42,3,42, 8.0
42,3,43, 1.0
42,4,27, 1.0
42,4,28, 1.0
42,4,42, 3.0
42,5,18, 2.0
42,5,26, 2.0
42,5,42, 2.0
42,6,4, 2.0
42,6,18, 1.0
42,6,25, 1.0
42,6,27, 2.0
42,6,31, 1.0
42,6,42, 2.0
42,7,25, 3.0
42,7,27, 1.0
42,7,28, 1.0
42,7,31, 1.0
42,7,33, 2.0
43,0,43, 3.0
43,1,35, 1.0
43,1,43, 2.0
43,2,28, 3.0
43,2,34, 2.0
43,2,35, 1.0
43,3,27, 1.0
43,3,34, 1.0
43,4,17, 2.0
43,4,18, 1.0
43,4,27, 4.0
43,4,35, 1.0
43,5,26, 4.0
43,6,20, 2.0
43,6,31, 5.0
43,7,33, 4.0
43,7,42, 1.0
43,7,43, 1.0
44,0,35, 1.0
31
